Months,Paymnt_Count,Payment_Date,Scheduled_Principal,Scheduled_Interest,Scheduled_Balance,Prepay_Speed,Default_Rate,Recovery,Servicing_CF,Earnout_CF,Balance,Principal,Default,Prepay,Interest_Amount,Total_CF
1,0,2015-08-24,0.0,0.0,7500.0,0.0,0.0018111498855875937,0.0,0.0,0.0,7500.0,0.0,0.0,0.0,0.0,-7885.500000000001
2,1,2015-09-24,135.22690752672418,175.0,7364.773092473276,0.008569886167558029,0.004596964306949724,1.0866899313525562,15.596700783037695,0.0,7288.292076962308,198.12429889578596,13.583624141906952,63.142307567157175,174.6830487700222,358.297336814123
3,2,2015-10-24,138.38220203568108,171.8447054910431,7226.390890437595,0.009833185020407208,0.007046489608143633,2.680321482913616,15.114141788387267,0.0,7048.120178946697,206.66787947919082,33.5040185364202,70.35226809217502,169.2783880299374,363.5124472036546
4,3,2015-11-24,141.6111200831803,168.61578744354387,7084.779770354415,0.01092299496266181,0.009182100910070132,3.9731604478316274,14.580115986143339,0.0,6785.797243841494,212.65842950730823,49.66450559789534,75.5140151265636,163.29729904480538,365.3487730138019
5,4,2015-12-24,144.91537955178788,165.3115279749363,6939.864390802627,0.01185159515336944,0.011025321845338555,4.98463000385827,14.007269518319305,0.0,6507.146394529521,216.34297426374434,62.307875048228375,78.81759657055098,156.8814186051762,364.20175335445947
6,5,2016-01-24,148.29673840799626,161.93016911872792,6791.56765239463,0.012631264751577779,0.012596824558266748,5.739470663553788,13.407089606739788,0.0,6217.405200950032,217.99781028506666,71.74338329442234,80.4808181415375,150.15940359548563,360.4895949373663
7,6,2016-02-24,151.75699563751616,158.46991188920802,6639.810656757114,0.0132742829163343,0.013916429704881092,6.265565001921821,12.789761746720854,0.0,5921.1738589072165,217.91177951879325,78.31956252402277,80.73443841986968,143.24533156327357,354.6329143372678
8,7,2016-03-24,155.29799220239158,154.9289153243326,6484.5126645547225,0.013792928806686679,0.015003106452916479,6.592127982228943,12.164108873186157,0.0,5622.399559838683,216.37269929067182,82.40159977786179,79.81012911451145,136.23801937968494,347.0387377793995
9,8,2016-04-24,158.92161202044738,151.3052955062768,6325.591052534275,0.014199481581682388,0.01587497248181633,6.748276729367241,11.537596043169986,0.0,5324.389147752778,213.65695296881498,84.35345911709051,77.93122317248586,129.22107568350384,338.0887093385161
10,9,2016-05-24,162.6297829675912,147.59712455913296,6162.961269566684,0.01450622040036904,0.016549293982732586,6.761962496244548,10.91638461781192,0.0,5029.84259444191,210.0220221078115,84.52453120305685,75.30606619288804,122.2635077194935,328.1311077057377
11,10,2016-06-24,166.42447790350167,143.8024296232225,5996.536791663182,0.014725424421794309,0.017042485658525695,6.659227502583165,10.305421355540876,0.0,4740.900649127192,205.70160153242819,83.24034378228956,72.12365726924851,115.42071918205781,317.4761268615283
12,11,2016-07-24,170.30771572125008,139.9191918054741,5826.229075941932,0.014869372805005669,0.01737011072376467,6.463738505699626,9.708549828762388,0.0,4459.201048095519,200.9028697104278,80.79673132124533,68.55120059892153,108.73575808213876,306.3938164695038
13,12,2016-08-24,174.2815624214126,135.9453451053116,5651.947513520519,0.0149503447090508,0.017546880904726996,6.196545275595731,9.12863381698036,93.75,4185.938760984827,195.8054711657452,77.45681594494663,64.73317363739007,102.24069875018003,201.3640813745406
14,13,2016-09-24,178.34813221124554,131.87877531547863,5473.599381309274,0.014980619292977167,0.017586656439398704,5.8760135130785,8.567684566815304,0.0,3921.926802670264,190.56178940108222,73.45016891348125,60.79153633673257,95.95806714833141,283.8281854956768
15,14,2016-10-24,182.50958862950796,127.7173188972162,5291.089792679766,0.014972475715832389,0.01750244607747433,5.51788634072251,8.026985882106734,0.0,3667.6550896898875,185.2981337213448,68.97357925903137,56.826746097554846,89.90224187959544,272.691276059556
16,15,2016-11-24,186.7681456975298,123.45876182919436,5104.321646982236,0.014938193136664139,0.017306407080356977,5.135434835045722,7.5072128213579505,0.0,3423.34563407516,180.11652017665625,64.19293543807153,52.91929408309208,84.08078359920904,261.82552578955307
17,16,2016-12-24,191.1260690971389,119.1008384295853,4913.195577885098,0.01489005071451989,0.01700984522115821,4.739665049605399,7.008541293656443,0.0,3189.003033743664,175.09678721142822,59.245813120067496,49.131532805944396,78.49566248895216,251.3235734563293
18,17,2017-01-24,195.58567737607214,114.64123015065204,4717.6099005090255,0.01484032760844725,0.016623214784698165,4.339555841102696,6.530747053603918,0.0,2964.459740899716,170.29884483016448,54.244448013783696,45.50961719181476,73.14436700036389,241.25202061802713
19,18,2017-02-24,200.1493431815138,110.07756434521035,4517.460557327511,0.01480130297749383,0.016156118567505446,3.9423080794853322,6.073293520637812,93.75,2749.415981186748,165.76490871940123,49.27885099356665,42.085428500602156,68.02088743114349,137.90481070939228
20,19,2017-03-24,204.81949452241588,105.4074130043083,4312.641062805095,0.014785255980707238,0.01561730787781725,3.553591246675794,5.63540852209021,0.0,2543.4744745355756,161.52161606772506,44.419890583447426,38.87839097883977,63.116575447410355,222.556374239721
21,20,2017-04-24,209.59861606127222,100.62829146545195,4103.042446743823,0.01480446577713495,0.015014682535579226,3.177777915855323,5.21615052205705,0.0,2346.170293284276,157.58195730310788,39.722223948191534,35.897124496253845,58.42088584703896,213.9644705439451
22,21,2017-05-24,214.48925043603526,95.73765709068891,3888.5531963077883,0.014871211525824638,0.014355290872445572,2.818160170245617,4.814465189908762,0.0,2156.9963032272362,153.9469879289697,35.22700212807021,33.140902992255235,53.92201012697814,205.8726930362847
23,22,2017-06-24,219.4939996128761,90.73290791384805,3669.0591966949123,0.014997772385823917,0.013645329731779067,2.477144747489343,4.429233320590875,0.0,1975.42468601517,150.6073078684495,30.964309343616787,30.600909065536783,49.60741319061779,198.26263248596578
24,23,2017-07-24,224.61552627050992,85.61138125621424,3444.4436704244026,0.015196427516180258,0.012890144468650902,2.15642569607785,4.0593111766962435,0.0,1800.9250515962053,147.54431321799146,26.955321200973128,28.26129042186218,45.464285178997926,191.105712916371
25,24,2017-08-24,229.85655521682185,80.37035230990233,3214.5871152075806,0.015479456075941268,0.01209422894984082,1.8571347273830134,3.7035643072998283,0.0,1632.9796294050018,144.73123809891578,23.214184092287667,26.100035131496917,41.47992024175808,184.3647287607571
26,25,2017-09-24,235.2198748385477,75.00703268817648,2979.367240369033,0.01585913722415456,0.011261225553837224,1.5799703606760247,3.360895833117816,0.0,1471.0959865766943,142.13401331985727,19.749629508450308,24.08969065512418,37.64203333091954,177.995121178335
27,26,2017-10-24,240.7083385847805,69.51856894194367,2738.6589017842525,0.01634775011986774,0.0103939251708368,1.325307497294788,3.030270089292728,0.0,1314.8176682808307,139.71197457967887,16.56634371618485,22.197957169760357,33.93902500007856,171.94603698775947
28,27,2017-11-24,246.3248664850921,63.902041041632096,2492.3340352991604,0.01695757392212842,0.009494267202744934,1.093289316592406,2.7107323996321373,0.0,1163.7330953930364,137.4184564303893,13.666116457405076,20.38818950997647,30.360202875879935,166.1612162232295
29,28,2017-12-24,252.07244670307756,58.1544608236466,2240.2615885960827,0.017700887789983997,0.008563339563175471,0.8839034368271158,2.4014256300681196,0.0,1017.4829931874133,135.20130924528416,11.048792960338947,18.61984453180176,26.89596705676294,160.5797541088061
30,29,2018-01-24,257.9541371261494,52.27277040057474,1982.3074514699333,0.0185899708824823,0.007601378677450798,0.697044189633598,2.101604043368736,0.0,875.7665665004572,133.00337431653605,8.713052370419975,16.848912281004043,23.537965285729847,155.13677974853078
31,30,2018-02-24,263.97306699242625,46.25384053429793,1718.334384477507,0.019637102358670718,0.006607769482601846,0.5325626644016698,1.8106448608238257,0.0,738.3465885719513,130.762944623485,6.657033305020872,15.02837032229215,20.27922244122685,149.7640848682897
32,31,2018-03-24,270.1324385555829,40.09446897114126,1448.201945921924,0.020854561377596937,0.005581045427367967,0.39030592444391365,1.5280578427425053,0.0,605.0535453922749,128.41421912412747,4.878824055548921,13.108701396869652,17.114247838716057,144.39071504454495
33,32,2018-04-24,276.43552878854655,33.79137873817765,1171.7664171333777,0.022254627098308496,0.004518888472197124,0.2701465058259466,1.2534931543113554,0.0,475.7890076647643,125.88770640468628,3.3768313228243327,11.038516288689424,14.03912332828718,138.94348308448807
34,33,2018-05-24,282.88569112694597,27.34121639977823,888.8807260064317,0.023849578679853007,0.0034181290892457868,0.172002996954753,0.986747854589229,0.0,350.5285920768947,123.11037812593523,2.1500374619344123,8.765329939397706,11.051575971399364,133.3472092397001
35,34,2018-06-24,289.4863572532414,20.740550273482764,599.3943687531903,0.02565169528127801,0.002274746262378953,0.09585215817523234,0.7277717502077174,0.0,229.3256352696861,120.00480483001819,1.1981519771904041,6.2365639137410405,8.151043602326435,127.52392884031212
36,35,2018-07-24,296.24103892248377,13.985868604240423,303.1533298307065,0.02767325606163111,0,0.041732610535791796,0.4766749534124765,0.0,112.32031525675242,116.48366238123629,0.5216576316973974,3.4009716211159957,5.338759478219737,121.38747951657935
